AU,FT_drone_s,LAANC_latency_ms,MSD,MS_s,NMR,PE,RID_CR,RTF,TTC_mean_s,TTC_median_s,TTC_p5_s,TTC_p95_s,VCU_handoff_rate,VCU_mean_occupancy,geofence_violations,method,n_agents,peak_memory_mb,scenario,seed,tick_p50_ms,tick_p95_ms,tick_p99_ms
0.1691,9746.0,nan,0.21776018335610559,84.0,7.537688442211055e-06,1.0,0.0,5443.23342581207,nan,nan,nan,nan,nan,nan,0.0,cbs,200,nan,08_stress_high_density,0,0.005320000013853132,0.39212600000837483,1.38490400001956
0.17076666666666665,9846.0,nan,0.8144316979715429,89.0,4.857621440536013e-06,1.0,0.0,5700.107321620702,nan,nan,nan,nan,nan,nan,0.0,cbs,200,nan,08_stress_high_density,1,0.005180000016480335,0.37918700002137484,1.1751100000196857
0.1761,10166.0,nan,0.23461670509793464,90.0,7.035175879396985e-06,1.0,0.0,9451.381636056729,nan,nan,nan,nan,nan,nan,0.0,cbs,200,nan,08_stress_high_density,2,0.0052199999913682404,0.1384219999636116,2.1435769999698095
0.16865,9719.0,nan,0.16033577535500854,92.0,4.355108877721943e-06,1.0,0.0,7503.659910120238,nan,nan,nan,nan,nan,nan,0.0,cbs,200,nan,08_stress_high_density,3,0.005280999971546407,0.13787299997147784,4.138521000015771
0.1766166666666667,10197.0,nan,0.531536476348272,87.0,5.862646566164154e-06,1.0,0.0,7544.4344556111555,nan,nan,nan,nan,nan,nan,0.0,cbs,200,nan,08_stress_high_density,4,0.005319999957009713,0.14263299999583978,4.150442000025123
0.17006666666666667,10004.0,nan,1.5564736722536057,86.0,5.695142378559464e-06,1.0,0.0,7303.508773603422,nan,nan,nan,nan,nan,nan,0.0,orca,200,nan,08_stress_high_density,0,0.009080000012318123,0.3448255499961308,2.350764709997293
0.17205,10123.0,nan,1.4920482117238276,90.0,5.025125628140704e-06,1.0,0.0,6834.341618936394,nan,nan,nan,nan,nan,nan,0.0,orca,200,nan,08_stress_high_density,1,0.009299999987888441,0.3578690499949746,2.3884295499743713
0.17711666666666667,10427.0,nan,0.6306228141517889,91.0,6.532663316582914e-06,1.0,0.0,7055.712707181287,nan,nan,nan,nan,nan,nan,0.0,orca,200,nan,08_stress_high_density,2,0.00906100001429877,0.42637604996684786,2.3977201499678813
0.16965000000000002,9979.0,nan,1.0596675221419876,93.0,4.522613065326633e-06,1.0,0.0,7009.405407095364,nan,nan,nan,nan,nan,nan,0.0,orca,200,nan,08_stress_high_density,3,0.009079999983896414,0.3606455499976847,2.3066854000455805
0.17753333333333332,10452.0,nan,1.5345595409387058,88.0,6.030150753768844e-06,1.0,0.0,14724.004426619893,nan,nan,nan,nan,nan,nan,0.0,orca,200,nan,08_stress_high_density,4,0.005570000041643652,0.23715250000577726,1.1018611199870056
