AU,FT_drone_s,LAANC_latency_ms,MSD,MS_s,NMR,PE,RID_CR,RTF,TTC_mean_s,TTC_median_s,TTC_p5_s,TTC_p95_s,VCU_handoff_rate,VCU_mean_occupancy,geofence_violations,method,n_agents,peak_memory_mb,scenario,seed,tick_p50_ms,tick_p95_ms,tick_p99_ms
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,12189.306429804667,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,0,0.00024999997094710125,0.012159999982941372,0.03856520004319444
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,10756.693980366015,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,1,0.0002109999286403763,0.0037500000189538696,0.008486200067636522
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,22714.19199125572,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,10,0.00021999994714860804,0.003700000092976552,0.008256800015260414
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,18338.35549570955,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,11,0.0002100000529026147,0.0035099999422527617,0.009104000037041154
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,13404.731900143724,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,12,0.00023999996301427018,0.0037099999872225453,0.008022999941203916
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,37069.94996633348,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,13,0.00021999994714860804,0.003470000024208275,0.007627000036336412
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,22973.574390887938,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,14,0.0002299999550814391,0.003769999921132694,0.0072780000436977205
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,20677.12293476407,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,15,0.00021999994714860804,0.0036000000136482413,0.007884000046942563
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,13049.686318141423,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,16,0.00021999994714860804,0.003679999963424052,0.007724199963376892
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,17680.653799077732,nan,nan,nan,nan,nan,nan,0.0,cbs,4,nan,01_corridor_crossing,17,0.00025000008463393897,0.003669999955491221,0.008002200047485399
