agents_finished,agents_total,horizon_s,method,scenario,seed,tick_count,wall_clock_s
4,4,180.0,sdacs_hybrid,01_corridor_crossing,23,180,0.025638685999979316
4,4,180.0,sdacs_hybrid,01_corridor_crossing,24,180,0.02968235100001948
4,4,180.0,sdacs_hybrid,01_corridor_crossing,25,180,0.03284722000000784
4,4,180.0,sdacs_hybrid,01_corridor_crossing,26,180,0.04620067899998048
4,4,180.0,sdacs_hybrid,01_corridor_crossing,27,180,0.04547351899998375
4,4,180.0,sdacs_hybrid,01_corridor_crossing,28,180,0.030204432000005
4,4,180.0,sdacs_hybrid,01_corridor_crossing,29,180,0.031488888000012594
4,4,180.0,sdacs_hybrid,01_corridor_crossing,3,180,0.03400821899992934
4,4,180.0,sdacs_hybrid,01_corridor_crossing,4,180,0.03530050500000925
4,4,180.0,sdacs_hybrid,01_corridor_crossing,5,180,0.02456702500001029
4,4,180.0,sdacs_hybrid,01_corridor_crossing,6,180,0.020511181999950168
4,4,180.0,sdacs_hybrid,01_corridor_crossing,7,180,0.03518324100002701
4,4,180.0,sdacs_hybrid,01_corridor_crossing,8,180,0.03350768500001777
4,4,180.0,sdacs_hybrid,01_corridor_crossing,9,180,0.03908188999992035
2,4,180.0,vo,01_corridor_crossing,0,180,0.07297148500003914
2,4,180.0,vo,01_corridor_crossing,1,180,0.0607327789999772
2,4,180.0,vo,01_corridor_crossing,10,180,0.054645490999973845
2,4,180.0,vo,01_corridor_crossing,11,180,0.02657693100002234
2,4,180.0,vo,01_corridor_crossing,12,180,0.030735776999904374
2,4,180.0,vo,01_corridor_crossing,13,180,0.044976687000030324
2,4,180.0,vo,01_corridor_crossing,14,180,0.037229477999972005
2,4,180.0,vo,01_corridor_crossing,15,180,0.01708940599996822
2,4,180.0,vo,01_corridor_crossing,16,180,0.04912507100004859
2,4,180.0,vo,01_corridor_crossing,17,180,0.050302612999985286
2,4,180.0,vo,01_corridor_crossing,18,180,0.04255709000005936
2,4,180.0,vo,01_corridor_crossing,19,180,0.03686920799998461
2,4,180.0,vo,01_corridor_crossing,2,180,0.03911521099996662
2,4,180.0,vo,01_corridor_crossing,20,180,0.04163686900005814
2,4,180.0,vo,01_corridor_crossing,21,180,0.04338964000010037
2,4,180.0,vo,01_corridor_crossing,22,180,0.03889557499996954
2,4,180.0,vo,01_corridor_crossing,23,180,0.037036392000004525
2,4,180.0,vo,01_corridor_crossing,24,180,0.03690326000003097
2,4,180.0,vo,01_corridor_crossing,25,180,0.038970863000031386
2,4,180.0,vo,01_corridor_crossing,26,180,0.031437971000059406
2,4,180.0,vo,01_corridor_crossing,27,180,0.06404681999993045
2,4,180.0,vo,01_corridor_crossing,28,180,0.048640330000012
2,4,180.0,vo,01_corridor_crossing,29,180,0.04574258799993913
2,4,180.0,vo,01_corridor_crossing,3,180,0.03917976299999282
2,4,180.0,vo,01_corridor_crossing,4,180,0.04518402999997306
2,4,180.0,vo,01_corridor_crossing,5,180,0.034455671000046095
2,4,180.0,vo,01_corridor_crossing,6,180,0.03528207400006522
2,4,180.0,vo,01_corridor_crossing,7,180,0.044413698999960616
2,4,180.0,vo,01_corridor_crossing,8,180,0.05142765400000826
2,4,180.0,vo,01_corridor_crossing,9,180,0.03515110000000732
16,16,240.0,cbs,02_dense_intersection,0,241,0.01836355300008563
16,16,240.0,cbs,02_dense_intersection,1,241,0.01762993199997709
16,16,240.0,cbs,02_dense_intersection,10,241,0.015511283000023468
16,16,240.0,cbs,02_dense_intersection,11,241,0.01617319199999656
16,16,240.0,cbs,02_dense_intersection,12,241,0.01595208800006276
16,16,240.0,cbs,02_dense_intersection,13,241,0.013128784999935306
16,16,240.0,cbs,02_dense_intersection,14,241,0.017522119000091152
16,16,240.0,cbs,02_dense_intersection,15,241,0.007910979999905976
16,16,240.0,cbs,02_dense_intersection,16,241,0.026847019000001637
16,16,240.0,cbs,02_dense_intersection,17,241,0.019521028999974988
16,16,240.0,cbs,02_dense_intersection,18,241,0.010825591999946482
16,16,240.0,cbs,02_dense_intersection,19,241,0.014406780999934199
16,16,240.0,cbs,02_dense_intersection,2,241,0.00574661100006324
16,16,240.0,cbs,02_dense_intersection,20,241,0.008168946999944637
16,16,240.0,cbs,02_dense_intersection,21,241,0.011849789999928362
16,16,240.0,cbs,02_dense_intersection,22,241,0.014294838000068921
16,16,240.0,cbs,02_dense_intersection,23,241,0.01662368300003436
16,16,240.0,cbs,02_dense_intersection,24,241,0.0162659640000129
16,16,240.0,cbs,02_dense_intersection,25,241,0.01955621600006907
16,16,240.0,cbs,02_dense_intersection,26,241,0.012115163999965262
16,16,240.0,cbs,02_dense_intersection,27,241,0.0209499740000183
16,16,240.0,cbs,02_dense_intersection,28,241,0.02147537899998042
16,16,240.0,cbs,02_dense_intersection,29,241,0.023548926999978903
16,16,240.0,cbs,02_dense_intersection,3,241,0.007819167999969068
16,16,240.0,cbs,02_dense_intersection,4,241,0.01620663199992123
16,16,240.0,cbs,02_dense_intersection,5,241,0.009422461999974985
16,16,240.0,cbs,02_dense_intersection,6,241,0.014112950000026103
16,16,240.0,cbs,02_dense_intersection,7,241,0.022245781000037823
16,16,240.0,cbs,02_dense_intersection,8,241,0.015325567999980194
16,16,240.0,cbs,02_dense_intersection,9,241,0.010251093999954719
16,16,240.0,orca,02_dense_intersection,0,240,0.007545999999933883
16,16,240.0,orca,02_dense_intersection,1,240,0.008820205999995778
16,16,240.0,orca,02_dense_intersection,10,240,0.006043847999990248
16,16,240.0,orca,02_dense_intersection,11,240,0.011078398999984529
16,16,240.0,orca,02_dense_intersection,12,240,0.008658361000016157
16,16,240.0,orca,02_dense_intersection,13,240,0.007828111000094395
16,16,240.0,orca,02_dense_intersection,14,240,0.010757509999962167
16,16,240.0,orca,02_dense_intersection,15,240,0.017715804999966167
16,16,240.0,orca,02_dense_intersection,16,240,0.007908730999929503
16,16,240.0,orca,02_dense_intersection,17,240,0.001721458000019993
16,16,240.0,orca,02_dense_intersection,18,240,0.005747207000013077
16,16,240.0,orca,02_dense_intersection,19,240,0.005612945999928343
16,16,240.0,orca,02_dense_intersection,2,240,0.00757020100002137
16,16,240.0,orca,02_dense_intersection,20,240,0.008531788000027518
16,16,240.0,orca,02_dense_intersection,21,240,0.007566821000068558
16,16,240.0,orca,02_dense_intersection,22,240,0.00448944599997958
16,16,240.0,orca,02_dense_intersection,23,240,0.007946242000002712
16,16,240.0,orca,02_dense_intersection,24,240,0.008560809000073277
16,16,240.0,orca,02_dense_intersection,25,240,0.009767882999994981
