AU,FT_drone_s,LAANC_latency_ms,MSD,MS_s,NMR,PE,RID_CR,RTF,TTC_mean_s,TTC_median_s,TTC_p5_s,TTC_p95_s,VCU_handoff_rate,VCU_mean_occupancy,geofence_violations,method,peak_memory_mb,scenario,seed,tick_p50_ms,tick_p95_ms,tick_p99_ms,wall_clock_seconds
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,34507.350063971935,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,01_corridor_crossing,42,0.0002299998413946014,0.003539999852364417,0.02429120013402944,0.005216280000240658
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,35014.86381034239,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,01_corridor_crossing,43,0.00023000029614195228,0.003510000169626437,0.008273999719676692,0.005140673999903811
0.39444444444444443,276.0,nan,0.0,69.0,0.005555555555555556,1.0,0.0,29749.238709749723,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,01_corridor_crossing,44,0.00021999994714860804,0.003749999905267032,0.014760799876967176,0.006050574999790115
0.4,284.0,nan,1.2941790156533557,71.0,0.005555555555555556,1.0,0.0,357076.2595814258,nan,nan,nan,nan,nan,nan,0.0,orca,nan,01_corridor_crossing,42,0.0002100000529026147,0.0062634499272462485,0.03165641010127733,0.0005040940000071714
0.4,284.0,nan,1.2941790156533557,71.0,0.005555555555555556,1.0,0.0,405367.0596409924,nan,nan,nan,nan,nan,nan,0.0,orca,nan,01_corridor_crossing,43,0.0002100000529026147,0.005289999990054639,0.007501899835915541,0.00044404200025383034
0.4,284.0,nan,1.2941790156533557,71.0,0.005555555555555556,1.0,0.0,429234.69849040214,nan,nan,nan,nan,nan,nan,0.0,orca,nan,01_corridor_crossing,44,0.0002100000529026147,0.005059999716650054,0.006688800322081081,0.0004193509998913214
1.0,304.0,107.68800437278762,4.820423326491362,77.0,0.001851851851851852,0.9697544980484626,1.0,29371.973362647463,14.822776811721976,16.219751779648654,0.0,26.969751779648657,0.022222222222222223,1.0037037037037035,0.0,sdacs_hybrid,nan,01_corridor_crossing,42,0.010265500122841331,0.09588950010765974,0.15677830011554766,0.00612829099964074
1.0,304.0,95.55316755725153,4.820423326491362,77.0,0.001851851851851852,0.9697544980484626,1.0,30703.81327675799,14.822776811721976,16.219751779648654,0.0,26.969751779648657,0.022222222222222223,1.0037037037037035,0.0,sdacs_hybrid,nan,01_corridor_crossing,43,0.012569999853440095,0.09325345035904314,0.13706189993627066,0.005862464000074397
1.0,304.0,97.55633260412198,4.820423326491362,77.0,0.001851851851851852,0.9697544980484626,1.0,31231.234150214997,14.822776811721976,16.219751779648654,0.0,26.969751779648657,0.022222222222222223,1.0037037037037035,0.0,sdacs_hybrid,nan,01_corridor_crossing,44,0.011484999959066045,0.09382054993238848,0.1153017999331496,0.00576346099978764
0.7347222222222223,527.0,nan,9.432095647288765,180.0,0.0,0.7456249829049068,0.0,21021.01646192257,nan,nan,nan,nan,nan,nan,0.0,vo,nan,01_corridor_crossing,42,0.048185999958150205,0.0802229499186069,0.09789179991457787,0.008562858999994205
0.7347222222222223,527.0,nan,9.432095647288765,180.0,0.0,0.7456249829049068,0.0,20986.40780255006,nan,nan,nan,nan,nan,nan,0.0,vo,nan,01_corridor_crossing,43,0.04783149984177726,0.07599955017667513,0.10555499975907892,0.00857698000027085
0.7347222222222223,527.0,nan,9.432095647288765,180.0,0.0,0.7456249829049068,0.0,20396.864050767494,nan,nan,nan,nan,nan,nan,0.0,vo,nan,01_corridor_crossing,44,0.04940149983667652,0.08440199990218385,0.11048010990180063,0.008824885999729304
0.29270833333333335,1092.0,nan,9.152340597579673,113.0,0.0,1.0,0.0,33909.71848486954,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,02_dense_intersection,42,0.0004900002750218846,0.013080999906378565,0.02136259990948018,0.007077616999595193
0.30755208333333334,1149.0,nan,12.016789470183635,135.0,0.0,0.9999999999999998,0.0,37415.17862070324,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,02_dense_intersection,43,0.0013799999578623101,0.013960999694972998,0.025357000140502316,0.006414509000023827
0.3875,1456.0,nan,11.022106511293652,123.0,0.0,0.9999999999999999,0.0,40294.17433735676,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,02_dense_intersection,44,0.002219999714725418,0.012260999938007444,0.020502599909377736,0.005956195999715419
0.29375,1112.0,nan,10.654974267240435,115.0,0.0,1.0,0.0,146453.4467185224,nan,nan,nan,nan,nan,nan,0.0,orca,nan,02_dense_intersection,42,0.0005049998890171992,0.018924449977930635,0.043071999980384044,0.0016387460000260035
0.30859375,1169.0,nan,13.04244597496162,137.0,0.0,1.0,0.0,154177.93287954308,nan,nan,nan,nan,nan,nan,0.0,orca,nan,02_dense_intersection,43,0.0016849999155965634,0.015327449978030922,0.02797581000777421,0.0015566430001854314
0.38828125,1475.0,nan,9.944444901194721,124.0,0.0,1.0,0.0,132138.21659418833,nan,nan,nan,nan,nan,nan,0.0,orca,nan,02_dense_intersection,44,0.002570000106061343,0.01639849995171971,0.03227010024602344,0.0018162799997298862
1.0,1187.0,99.29726569634639,15.143255332049478,119.0,0.0,0.9883838528953944,1.0,19037.464221946135,22.181172679755456,11.265704608464723,0.4229491888718224,59.93951285415275,0.06666666666666667,4.0,0.0,sdacs_hybrid,nan,02_dense_intersection,42,0.06274650013438077,0.14163200014536412,0.24706461996629384,0.012606721000338439
1.0,1255.0,96.77734970559052,9.327175567871913,145.0,0.0,0.9873872604994277,1.0,16915.697450545813,28.192005282316874,23.950223826345145,0.0,57.58022183081032,0.06666666666666667,4.0,0.0,sdacs_hybrid,nan,02_dense_intersection,43,0.06395649984369811,0.138303000153428,0.1870502100746305,0.01418800499959616
1.0,1553.0,100.49722620901083,17.14779903239294,134.0,0.0,0.9897053946658154,1.0,18338.22798470905,27.23096159109133,26.691200585757873,0.9965630080469603,68.1574942126525,0.06666666666666667,4.016666666666667,0.0,sdacs_hybrid,nan,02_dense_intersection,44,0.06264200010264176,0.13277349989948556,0.18716710003900497,0.01308741499997268
0.33307291666666666,1263.0,nan,20.997346239100096,123.0,0.0,0.9395951212224087,0.0,3873.4543746827103,nan,nan,nan,nan,nan,nan,0.0,vo,nan,02_dense_intersection,42,0.04753150005853968,0.7966014999283288,0.836232009919513,0.061960198000178934
0.4078125,1552.0,nan,19.83687396816598,240.0,0.0,0.9036389954500474,0.0,3161.2078906966826,nan,nan,nan,nan,nan,nan,0.0,vo,nan,02_dense_intersection,43,0.14249900004870142,0.75801299988143,0.8206766000284914,0.07592034699973738
0.47708333333333336,1817.0,nan,12.172803606707902,240.0,0.0,0.9198408488106008,0.0,2664.554474345635,nan,nan,nan,nan,nan,nan,0.0,vo,nan,02_dense_intersection,44,0.3206440001122246,0.8486059497727183,0.9154111000270859,0.09007134299963582
0.25833333333333336,356.0,nan,22.41109639105165,65.0,0.0,1.0,0.0,33175.74241462979,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,03_emergency_landing,42,0.00029000011636526324,0.005020000116928713,0.008191999950213245,0.00542565099976855
0.3090277777777778,429.0,nan,6.28142752546193,70.0,0.0,1.0,0.0,34255.66065206587,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,03_emergency_landing,43,0.00034000004234258085,0.0053910002861812245,0.018140800148103094,0.005254606000107742
0.36666666666666664,512.0,nan,8.708110524969843,81.0,0.0,1.0,0.0,36572.231072050374,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,03_emergency_landing,44,0.0003000000106112566,0.005449999662232585,0.009625999973650223,0.004921766999814281
0.25972222222222224,366.0,nan,21.802942085777097,66.0,0.0,1.0,0.0,312659.5865061692,nan,nan,nan,nan,nan,nan,0.0,orca,nan,03_emergency_landing,42,0.00034000004234258085,0.007831950051695454,0.010364600025241099,0.0005757060002906655
0.30972222222222223,438.0,nan,7.448611756725697,71.0,0.0,1.0,0.0,286826.5353172031,nan,nan,nan,nan,nan,nan,0.0,orca,nan,03_emergency_landing,43,0.0003000000106112566,0.008149549876179659,0.0142665998146187,0.0006275569999161235
0.36736111111111114,521.0,nan,9.269715283824894,82.0,0.0,1.0,0.0,261757.6443947692,nan,nan,nan,nan,nan,nan,0.0,orca,nan,03_emergency_landing,44,0.0003000000106112566,0.008203500124182026,0.009786799919311306,0.0006876590000501892
1.0,396.0,100.16578654046012,19.87999801473465,69.0,0.0,0.967435800307439,1.0,28391.628444038455,12.385441499664028,14.297908270033794,4.341674861964753,22.3416748831684,0.044444444444444446,2.051851851851852,0.0,sdacs_hybrid,nan,03_emergency_landing,42,0.0094600000011269,0.10534600014580063,0.13221150969457104,0.006339897000088968
1.0,460.0,96.15225271578538,10.210612494939022,73.0,0.0,0.9864139386267841,1.0,28571.7188227569,11.590629238451339,13.76927584347633,3.7753462681937044,24.494793903307347,0.044444444444444446,2.0,0.0,sdacs_hybrid,nan,03_emergency_landing,43,0.010185500059378683,0.10508305033454234,0.14836929983630406,0.006299936000232265
